alpha,y_num,data_type,shape,dLx,dLy,iP,q_infc,n_points,d_perc,n_contours_total,n_contours_failed,Fx_bernoulli,Fz_bernoulli,C_l_bernoulli,C_d_bernoulli,vort_abs_mean,vort_abs_max,vort_rel_mean,vort_rel_max,n_valid_segments,valid_fraction,Fx_bernoulli_std,Fz_bernoulli_std,C_l_bernoulli_std,C_d_bernoulli_std,vort_abs_mean_std,vort_abs_max_std,vort_rel_mean_std,vort_rel_max_std,n_valid_segments_std,valid_fraction_std,n_contours_used
6,3,PIV,ellipse,0.67,0.43,360,53.7768612,1,5.0,1,0,-2.5874912371481456,31.266983270198676,0.5814207555534809,-0.04811532654397735,13.469959824221428,263.75302363015214,0.34502727371457353,6.755921165662931,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3,PIV,rectangle,0.67,0.43,360,53.7768612,1,5.0,1,0,-0.5210726930132636,32.02612265091436,0.5955372243055784,-0.009689533404996564,5.788404912715639,103.5754906726248,0.14826752211978164,2.65304200136993,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4,CFD,ellipse,0.65,0.42,360,53.7768612,1,5.0,1,0,-3.428614331991105,35.43082861151611,0.658848951405816,-0.06375631183158575,6.375448391968258,120.26565919621866,0.1625175920326013,3.0657114817847058,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4,CFD,rectangle,0.65,0.42,360,53.7768612,1,5.0,1,0,-3.611788455455274,34.317824860212305,0.6381522479079219,-0.06716250028098096,4.996226959373208,122.1545150359583,0.12735963414096782,3.113860613249392,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4,PIV,ellipse,0.65,0.42,360,53.7768612,1,5.0,1,0,-3.330269046873218,30.145172707988944,0.5605602862516815,-0.06192754602184216,17.31337962508527,382.6851802396633,0.44133817633280087,9.755090179611908,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4,PIV,rectangle,0.65,0.42,360,53.7768612,1,5.0,1,0,-1.3494434167738234,29.99973164603648,0.5578557575992643,-0.025093383783689915,6.063376403975267,119.12315605765673,0.1545625142229619,3.036587748432446,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,1,CFD,ellipse,0.6,0.44,360,53.7768612,1,5.0,1,0,-19.192516425649334,34.72056649908361,0.6456413729681124,-0.3568917188058074,35.02573830687934,473.6231689523803,0.9301601320279373,12.577761687830273,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,1,CFD,rectangle,0.6,0.44,360,53.7768612,1,5.0,1,0,-16.570053676553577,37.19544373515002,0.691662601817118,-0.3081260844683434,27.21518673956197,462.72154682702296,0.72273941719778,12.288253036032648,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,1,PIV,ellipse,0.6,0.44,360,53.7768612,1,5.0,1,0,-13.236280116641904,37.895758774159276,0.7046852108608986,-0.24613337077103162,46.03953367909592,563.2158780362973,1.2226477098140573,14.957028196935353,359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,1,PIV,rectangle,0.6,0.44,360,53.7768612,1,5.0,1,0,-8.05690245530712,41.33900593387173,0.7687136253662892,-0.1498209876054856,23.237669586931545,454.0709136009682,0.617110583697718,12.0585227139143,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
